LotArea,SaleCondition,SalePrice
10998,Normal,117000
1953,Normal,83000
9735,Normal,167500
8212,Normal,58500
12925,Normal,237500
7200,Normal,157000
25339,Normal,112000
9060,Normal,105000
5436,Normal,125500
16692,Normal,250000
8520,Family,136000
14892,Normal,377500
6000,Normal,131000
9100,Normal,235000
8944,Normal,124000
7838,Normal,123000
10800,Normal,163000
4045,Partial,246578
12665,Normal,281213
57200,Normal,160000
6120,Normal,137500
7200,Normal,138000
6171,Normal,137450
6000,Normal,120000
7415,Normal,193000
6762,Partial,193879
15256,Normal,282922
10410,Family,105000
3842,Normal,275000
8445,Normal,133000
8780,Normal,112000
7740,Normal,125500
20544,Normal,215000
12420,Normal,230000
9600,Normal,140000
7200,Normal,90000
10994,Abnorml,257000
13053,Normal,207000
3635,Normal,175900
11340,Normal,122500
16545,Normal,340000
9204,Normal,124000
16381,Normal,223000
11700,Normal,179900
4043,Normal,127500
4435,Normal,136500
19690,Alloca,274970
9503,Normal,144000
10721,Normal,142000
10944,Normal,271000
10930,Normal,140000
7200,Abnorml,119000
12546,Normal,182900
21930,Normal,192140
4928,Normal,143750
10800,Normal,64500
10261,Normal,186500
17400,Normal,160000
8400,Abnorml,174000
9000,Normal,120500
12444,Partial,394617
7407,Normal,149700
11584,Normal,197000
11526,Normal,191000
4426,Normal,149300
11003,Normal,310000
8854,Normal,121000
8500,Normal,179600
8400,Normal,129000
26142,Normal,157900
10000,Normal,240000
11767,Normal,112000
1533,Abnorml,92000
9000,Normal,136000
9262,Partial,287090
3675,Normal,145000
17217,Abnorml,84500
7500,Normal,185000
7917,Normal,175000
13175,Normal,210000
9042,Normal,266500
9717,Normal,142125
9937,Normal,147500
